Sample	Days	Cell_type	Experiment
P11951_1403	D6G2_6	D6	D6	Exp3
P11951_1404	D6G2_5	D6	D6	Exp3
P11951_1405	D6G2_4	D6	D6	Exp3
P11951_1406	D6G2_3	D6	D6	Exp3
P11951_1409	D6G3_16	D6	D6	Exp3
P11951_1410	D6G3_15	D6	D6	Exp3
P11951_1411	D6G3_14	D6	D6	Exp3
P11951_1412	D6G3_13	D6	D6	Exp3
P11951_1413	D6G3_12	D6	D6	Exp3
P11951_1414	D6G3_11	D6	D6	Exp3
P11951_1415	D6G3_10	D6	D6	Exp3
P11951_1416	D6G3_9	D6	D6	Exp3
P11951_1417	D5C3_16	D5	D5	Exp3
P11951_1418	D5C3_15	D5	D5	Exp3
P11951_1419	D5C3_14	D5	D5	Exp3
P11951_1420	D6J1_28	D6	D6	Exp3
P11951_1421	D5C3_12	D5	D5	Exp3
P11951_1422	D5C3_11	D5	D5	Exp3
P11951_1424	D5C3_9	D5	D5	Exp3
P11951_1425	D6J1_29	D6	D6	Exp3
P11951_1426	D5G5_31	D5	D5	Exp3
P11951_1427	D5G5_30	D5	D5	Exp3
P11951_1428	D5G5_29	D5	D5	Exp3
P11951_1429	D5G5_28	D5	D5	Exp3
P11951_1430	D6J1_27	D6	D6	Exp3
P11951_1431	D6J1_26	D6	D6	Exp3
P11951_1432	D6J1_25	D6	D6	Exp3
P11951_1433	D5C1_24	D5	D5	Exp3
P11951_1434	D5C1_23	D5	D5	Exp3
P11951_1435	D5C1_22	D5	D5	Exp3
P11951_1436	D5C1_21	D5	D5	Exp3
P11951_1438	D5C1_19	D5	D5	Exp3
P11951_1441	D5E2ICM_8	D5	D5	Exp3
P11951_1442	D5E2ICM_7	D5	D5	Exp3
P11951_1443	D5E2ICM_6	D5	D5	Exp3
P11951_1444	D5E2ICM_5	D5	D5	Exp3
P11951_1445	D5E2ICM_4	D5	D5	Exp3
P11951_1447	D5E2ICM_2	D5	D5	Exp3
P11951_1448	D5E2ICM_1	D5	D5	Exp3
P11951_1449	D6J1_30	D6	D6	Exp3
P11951_1452	D4H2_5	D4	D4	Exp3
P11951_1453	D4H2_4	D4	D4	Exp3
P11951_1456	D4H2_1	D4	D4	Exp3
P11951_1457	D4H2_16	D4	D4	Exp3
P11951_1458	D4H2_15	D4	D4	Exp3
P11951_1459	D4H2_14	D4	D4	Exp3
P11951_1460	D4H2_13	D4	D4	Exp3
P11951_1461	D4H2_12	D4	D4	Exp3
P11951_1462	D4H2_11	D4	D4	Exp3
P11951_1463	D4H2_10	D4	D4	Exp3
P11951_1465	D4B1_8	D4	D4	Exp3
P11951_1467	D4B1_6	D4	D4	Exp3
P11951_1468	D4B1_5	D4	D4	Exp3
P11951_1469	D4B1_4	D4	D4	Exp3
P11951_1471	D4B1_2	D4	D4	Exp3
P11951_1473	D4H8_16	D4	D4	Exp3
P11951_1474	D4H8_15	D4	D4	Exp3
